Country,year,Age,nmxM,nmxF,nmxB,lxB,start_year,end_year,lx,Female,np20_period
China,2016,47,0.00353511,0.001714747,0.002635433,969.8658146,2015,2017,978.7176331,1,0.978717633
China,2016,48,0.003896183,0.001883823,0.002900223,967.3131616,2015,2017,958.1691826,0,0.958169183
China,2016,48,0.003896183,0.001883823,0.002900223,967.3131616,2015,2017,977.040818,1,0.977040818
China,2016,49,0.004347,0.002097943,0.003232457,964.5117997,2015,2017,954.4432383,0,0.954443238
China,2016,49,0.004347,0.002097943,0.003232457,964.5117997,2015,2017,975.2019777,1,0.975201978
China,2016,50,0.004880183,0.002355023,0.003627183,961.399088,2015,2017,950.3032718,0,0.950303272
China,2016,50,0.004880183,0.002355023,0.003627183,961.399088,2015,2017,973.1582031,1,0.973158203
China,2016,51,0.005457237,0.002628553,0.004051583,957.9182301,2015,2017,945.6769063,0,0.945676906
China,2016,51,0.005457237,0.002628553,0.004051583,957.9182301,2015,2017,970.8690883,1,0.970869088
China,2016,52,0.006003997,0.002881993,0.004450037,954.0449909,2015,2017,940.5301671,0,0.940530167
China,2016,52,0.006003997,0.002881993,0.004450037,954.0449909,2015,2017,968.3204567,1,0.968320457
China,2016,53,0.00645829,0.003080833,0.004773923,949.8088811,2015,2017,934.9001285,0,0.934900129
China,2016,53,0.00645829,0.003080833,0.004773923,949.8088811,2015,2017,965.5337792,1,0.965533779
China,2016,54,0.006827583,0.003228673,0.005028547,945.2853638,2015,2017,928.8817067,0,0.928881707
China,2016,54,0.006827583,0.003228673,0.005028547,945.2853638,2015,2017,962.5637057,1,0.962563706
China,2016,55,0.007191063,0.003368773,0.005275797,940.5438737,2015,2017,922.5612661,0,0.922561266
China,2016,55,0.007191063,0.003368773,0.005275797,940.5438737,2015,2017,959.4609109,1,0.959460911
China,2016,56,0.00763943,0.00354975,0.005585817,935.5948105,2015,2017,915.9508376,0,0.915950838
China,2016,56,0.00763943,0.00354975,0.005585817,935.5948105,2015,2017,956.2341397,1,0.95623414
China,2016,57,0.00826182,0.00381826,0.00602609,930.3833047,2015,2017,908.9801215,0,0.908980121
China,2016,57,0.00826182,0.00381826,0.00602609,930.3833047,2015,2017,952.8457615,1,0.952845762
China,2016,58,0.009138903,0.004211073,0.006653197,924.7935733,2015,2017,901.5011861,0,0.901501186
China,2016,58,0.009138903,0.004211073,0.006653197,924.7935733,2015,2017,949.2144812,1,0.949214481
China,2016,59,0.010319803,0.004748473,0.007499507,918.6611399,2015,2017,893.2999292,0,0.893299929
China,2016,59,0.010319803,0.004748473,0.007499507,918.6611399,2015,2017,945.225668,1,0.945225668
China,2016,60,0.011765583,0.005420933,0.008539987,911.797372,2015,2017,884.1285729,0,0.884128573
China,2016,60,0.011765583,0.005420933,0.008539987,911.797372,2015,2017,940.7479204,1,0.94074792
China,2016,61,0.013436907,0.006209683,0.00974478,904.0437426,2015,2017,873.7871211,0,0.873787121
China,2016,61,0.013436907,0.006209683,0.00974478,904.0437426,2015,2017,935.6619739,1,0.935661974
China,2016,62,0.015215497,0.007069207,0.01103237,895.2767514,2015,2017,862.12448,0,0.86212448
China,2016,62,0.015215497,0.007069207,0.01103237,895.2767514,2015,2017,929.8697932,1,0.929869793
China,2016,63,0.016950393,0.007952897,0.012306107,885.4539116,2015,2017,849.1058702,0,0.84910587
China,2016,63,0.016950393,0.007952897,0.012306107,885.4539116,2015,2017,923.3195041,1,0.923319504
China,2016,64,0.018474087,0.008809327,0.013460467,874.624058,2015,2017,834.8341474,0,0.834834147
China,2016,64,0.018474087,0.008809327,0.013460467,874.624058,2015,2017,916.0055232,1,0.916005523
China,2016,65,0.019826887,0.009663917,0.014538557,862.9299143,2015,2017,819.5525062,0,0.819552506
China,2016,65,0.019826887,0.009663917,0.014538557,862.9299143,2015,2017,907.9715184,1,0.907971518
China,2016,66,0.021707967,0.01097404,0.01612455,850.4746993,2015,2017,803.4628355,0,0.803462836
China,2016,66,0.021707967,0.01097404,0.01612455,850.4746993,2015,2017,899.2391517,1,0.899239152
China,2016,67,0.023618653,0.01241399,0.01781331,836.8708554,2015,2017,786.2085686,0,0.786208569
China,2016,67,0.023618653,0.01241399,0.01781331,836.8708554,2015,2017,889.4247173,1,0.889424717
China,2016,68,0.02585106,0.01407922,0.019775593,822.0950187,2015,2017,767.8561111,0,0.767856111
China,2016,68,0.02585106,0.01407922,0.019775593,822.0950187,2015,2017,878.4515183,1,0.878451518
China,2016,69,0.02795161,0.01553305,0.021537203,805.9967781,2015,2017,748.2595132,0,0.748259513
China,2016,69,0.02795161,0.01553305,0.021537203,805.9967781,2015,2017,866.1700628,1,0.866170063
China,2016,70,0.030754687,0.01729678,0.023771063,788.8228013,2015,2017,727.632731,0,0.727632731
China,2016,70,0.030754687,0.01729678,0.023771063,788.8228013,2015,2017,852.8194875,1,0.852819487
China,2016,71,0.03413725,0.019366043,0.026429983,770.2918942,2015,2017,705.5935188,0,0.705593519
China,2016,71,0.03413725,0.019366043,0.026429983,770.2918942,2015,2017,838.1949353,1,0.838194935
China,2016,72,0.037955563,0.021714437,0.02944379,750.1986247,2015,2017,681.9107291,0,0.681910729
China,2016,72,0.037955563,0.021714437,0.02944379,750.1986247,2015,2017,822.1180883,1,0.822118088
China,2016,73,0.042076937,0.024324433,0.032723113,728.4304034,2015,2017,656.510464,0,0.656510464
China,2016,73,0.042076937,0.024324433,0.032723113,728.4304034,2015,2017,804.4579966,1,0.804457997
China,2016,74,0.046414803,0.027187883,0.036216537,704.9776168,2015,2017,629.4557054,0,0.629455705
China,2016,74,0.046414803,0.027187883,0.036216537,704.9776168,2015,2017,785.125142,1,0.785125142
China,2016,75,0.05109116,0.030415327,0.04004992,679.8998834,2015,2017,600.9022932,0,0.600902293
China,2016,75,0.05109116,0.030415327,0.04004992,679.8998834,2015,2017,764.0655344,1,0.764065534
China,2016,76,0.056030107,0.03397595,0.044178783,653.2045211,2015,2017,570.966232,0,0.570966232
China,2016,76,0.056030107,0.03397595,0.044178783,653.2045211,2015,2017,741.1743529,1,0.741174353
China,2016,77,0.061655577,0.03813398,0.04892655,624.9704143,2015,2017,539.8467471,0,0.539846747
China,2016,77,0.061655577,0.03813398,0.04892655,624.9704143,2015,2017,716.4128972,1,0.716412897
China,2016,78,0.06829634,0.04310098,0.05452248,595.1229352,2015,2017,507.557588,0,0.507557588
China,2016,78,0.06829634,0.04310098,0.05452248,595.1229352,2015,2017,689.6043798,1,0.68960438
China,2016,79,0.076159383,0.04902684,0.061095993,563.5364438,2015,2017,474.0378985,0,0.474037898
China,2016,79,0.076159383,0.04902684,0.061095993,563.5364438,2015,2017,660.5087797,1,0.66050878
China,2016,80,0.085367963,0.056003807,0.068765,530.1272101,2015,2017,439.2598036,0,0.439259804
China,2016,80,0.085367963,0.056003807,0.068765,530.1272101,2015,2017,628.9009377,1,0.628900938
China,2016,81,0.095844003,0.064003903,0.077547393,494.8847368,2015,2017,403.2961603,0,0.40329616
China,2016,81,0.095844003,0.064003903,0.077547393,494.8847368,2015,2017,594.6394773,1,0.594639477
China,2016,82,0.107376307,0.072866317,0.08727499,457.9401921,2015,2017,366.4102866,0,0.366410287
China,2016,82,0.107376307,0.072866317,0.08727499,457.9401921,2015,2017,557.7604311,1,0.557760431
China,2016,83,0.119767967,0.082422187,0.097726473,419.6445905,2015,2017,329.0711715,0,0.329071171
China,2016,83,0.119767967,0.082422187,0.097726473,419.6445905,2015,2017,518.5471467,1,0.518547147
China,2016,84,0.13287262,0.092497423,0.108677623,380.5447494,2015,2017,291.8857948,0,0.291885795
China,2016,84,0.13287262,0.092497423,0.108677623,380.5447494,2015,2017,477.4989961,1,0.477498996
China,2016,85,0.14682945,0.103063133,0.120147417,341.3195037,2015,2017,255.5182875,0,0.255518288
